unit_id,unit_code,canonical_name,organization_type,unit_level,source_ref,valid_from,valid_to,registry_version,qa_confidence
28,BCA_CA_HTAY_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Tỉnh Hà Tây,BCA,cap_tinh,legacy_record_dvc,2018-01-01,2008-08-01,v2.0.0,MEDIUM
29,BCA_CA_HTAY_PC02,Phòng Cảnh sát hình sự - Công an Tỉnh Hà Tây,BCA,cap_tinh,legacy_record_dvc,2018-01-01,2008-08-01,v2.0.0,MEDIUM
30,BCA_CA_HTAY_PC03,Phòng Cảnh sát kinh tế - Công an Tỉnh Hà Tây,BCA,cap_tinh,legacy_record_dvc,2018-01-01,2008-08-01,v2.0.0,MEDIUM
31,BCA_CA_HTAY_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Tỉnh Hà Tây,BCA,cap_tinh,legacy_record_dvc,2018-01-01,2008-08-01,v2.0.0,MEDIUM
32,BCA_CA_HTAY_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Tỉnh Hà Tây,BCA,cap_tinh,legacy_record_dvc,2018-01-01,2008-08-01,v2.0.0,MEDIUM
33,BCA_CA_HTAY_PC08,Phòng Cảnh sát giao thông - Công an Tỉnh Hà Tây,BCA,cap_tinh,legacy_record_dvc,2018-01-01,2008-08-01,v2.0.0,MEDIUM
34,BCA_CA_HTAY_PA01,Phòng An ninh đối ngoại - Công an Tỉnh Hà Tây,BCA,cap_tinh,legacy_record_dvc,2018-01-01,2008-08-01,v2.0.0,MEDIUM
35,BCA_CA_HTAY_PA02,Phòng An ninh nội địa - Công an Tỉnh Hà Tây,BCA,cap_tinh,legacy_record_dvc,2018-01-01,2008-08-01,v2.0.0,MEDIUM
36,BCA_CA_HTAY_PA03,Phòng An ninh chính trị nội bộ - Công an Tỉnh Hà Tây,BCA,cap_tinh,legacy_record_dvc,2018-01-01,2008-08-01,v2.0.0,MEDIUM
37,BCA_CA_HTAY_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Tỉnh Hà Tây,BCA,cap_tinh,legacy_record_dvc,2018-01-01,2008-08-01,v2.0.0,MEDIUM
38,BCA_CA_HCM,Công an Thành phố Thành phố Hồ Chí Minh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
39,BCA_CA_HCM_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Thành phố Thành phố Hồ Chí Minh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
40,BCA_CA_HCM_PC02,Phòng Cảnh sát hình sự - Công an Thành phố Thành phố Hồ Chí Minh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
41,BCA_CA_HCM_PC03,Phòng Cảnh sát kinh tế - Công an Thành phố Thành phố Hồ Chí Minh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
42,BCA_CA_HCM_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Thành phố Thành phố Hồ Chí Minh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
43,BCA_CA_HCM_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Thành phố Thành phố Hồ Chí Minh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
44,BCA_CA_HCM_PC08,Phòng Cảnh sát giao thông - Công an Thành phố Thành phố Hồ Chí Minh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
45,BCA_CA_HCM_PA01,Phòng An ninh đối ngoại - Công an Thành phố Thành phố Hồ Chí Minh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
46,BCA_CA_HCM_PA02,Phòng An ninh nội địa - Công an Thành phố Thành phố Hồ Chí Minh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
47,BCA_CA_HCM_PA03,Phòng An ninh chính trị nội bộ - Công an Thành phố Thành phố Hồ Chí Minh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
48,BCA_CA_HCM_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Thành phố Thành phố Hồ Chí Minh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
49,BCA_CA_DN,Công an Thành phố Đà Nẵng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
50,BCA_CA_DN_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Thành phố Đà Nẵng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
51,BCA_CA_DN_PC02,Phòng Cảnh sát hình sự - Công an Thành phố Đà Nẵng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
52,BCA_CA_DN_PC03,Phòng Cảnh sát kinh tế - Công an Thành phố Đà Nẵng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
53,BCA_CA_DN_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Thành phố Đà Nẵng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
54,BCA_CA_DN_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Thành phố Đà Nẵng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
55,BCA_CA_DN_PC08,Phòng Cảnh sát giao thông - Công an Thành phố Đà Nẵng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
56,BCA_CA_DN_PA01,Phòng An ninh đối ngoại - Công an Thành phố Đà Nẵng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
57,BCA_CA_DN_PA02,Phòng An ninh nội địa - Công an Thành phố Đà Nẵng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
58,BCA_CA_DN_PA03,Phòng An ninh chính trị nội bộ - Công an Thành phố Đà Nẵng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
59,BCA_CA_DN_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Thành phố Đà Nẵng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
60,BCA_CA_HP,Công an Thành phố Hải Phòng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
61,BCA_CA_HP_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Thành phố Hải Phòng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
62,BCA_CA_HP_PC02,Phòng Cảnh sát hình sự - Công an Thành phố Hải Phòng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
63,BCA_CA_HP_PC03,Phòng Cảnh sát kinh tế - Công an Thành phố Hải Phòng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
64,BCA_CA_HP_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Thành phố Hải Phòng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
65,BCA_CA_HP_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Thành phố Hải Phòng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
66,BCA_CA_HP_PC08,Phòng Cảnh sát giao thông - Công an Thành phố Hải Phòng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
67,BCA_CA_HP_PA01,Phòng An ninh đối ngoại - Công an Thành phố Hải Phòng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
68,BCA_CA_HP_PA02,Phòng An ninh nội địa - Công an Thành phố Hải Phòng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
69,BCA_CA_HP_PA03,Phòng An ninh chính trị nội bộ - Công an Thành phố Hải Phòng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
70,BCA_CA_HP_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Thành phố Hải Phòng,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
71,BCA_CA_CT,Công an Thành phố Cần Thơ,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
72,BCA_CA_CT_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Thành phố Cần Thơ,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
73,BCA_CA_CT_PC02,Phòng Cảnh sát hình sự - Công an Thành phố Cần Thơ,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
74,BCA_CA_CT_PC03,Phòng Cảnh sát kinh tế - Công an Thành phố Cần Thơ,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
75,BCA_CA_CT_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Thành phố Cần Thơ,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
76,BCA_CA_CT_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Thành phố Cần Thơ,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
77,BCA_CA_CT_PC08,Phòng Cảnh sát giao thông - Công an Thành phố Cần Thơ,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
78,BCA_CA_CT_PA01,Phòng An ninh đối ngoại - Công an Thành phố Cần Thơ,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
79,BCA_CA_CT_PA02,Phòng An ninh nội địa - Công an Thành phố Cần Thơ,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
80,BCA_CA_CT_PA03,Phòng An ninh chính trị nội bộ - Công an Thành phố Cần Thơ,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
81,BCA_CA_CT_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Thành phố Cần Thơ,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
82,BCA_CA_DNAI,Công an Tỉnh Đồng Nai,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
83,BCA_CA_DNAI_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Tỉnh Đồng Nai,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
84,BCA_CA_DNAI_PC02,Phòng Cảnh sát hình sự - Công an Tỉnh Đồng Nai,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
85,BCA_CA_DNAI_PC03,Phòng Cảnh sát kinh tế - Công an Tỉnh Đồng Nai,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
86,BCA_CA_DNAI_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Tỉnh Đồng Nai,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
87,BCA_CA_DNAI_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Tỉnh Đồng Nai,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
88,BCA_CA_DNAI_PC08,Phòng Cảnh sát giao thông - Công an Tỉnh Đồng Nai,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
89,BCA_CA_DNAI_PA01,Phòng An ninh đối ngoại - Công an Tỉnh Đồng Nai,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
90,BCA_CA_DNAI_PA02,Phòng An ninh nội địa - Công an Tỉnh Đồng Nai,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
91,BCA_CA_DNAI_PA03,Phòng An ninh chính trị nội bộ - Công an Tỉnh Đồng Nai,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
92,BCA_CA_DNAI_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Tỉnh Đồng Nai,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
93,BCA_CA_BD,Công an Tỉnh Bình Dương,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
94,BCA_CA_BD_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Tỉnh Bình Dương,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
95,BCA_CA_BD_PC02,Phòng Cảnh sát hình sự - Công an Tỉnh Bình Dương,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
96,BCA_CA_BD_PC03,Phòng Cảnh sát kinh tế - Công an Tỉnh Bình Dương,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
97,BCA_CA_BD_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Tỉnh Bình Dương,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
98,BCA_CA_BD_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Tỉnh Bình Dương,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
99,BCA_CA_BD_PC08,Phòng Cảnh sát giao thông - Công an Tỉnh Bình Dương,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
100,BCA_CA_BD_PA01,Phòng An ninh đối ngoại - Công an Tỉnh Bình Dương,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
101,BCA_CA_BD_PA02,Phòng An ninh nội địa - Công an Tỉnh Bình Dương,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
102,BCA_CA_BD_PA03,Phòng An ninh chính trị nội bộ - Công an Tỉnh Bình Dương,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
103,BCA_CA_BD_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Tỉnh Bình Dương,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
104,BCA_CA_VT,Công an Tỉnh Bà Rịa - Vũng Tàu,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
105,BCA_CA_VT_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Tỉnh Bà Rịa - Vũng Tàu,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
106,BCA_CA_VT_PC02,Phòng Cảnh sát hình sự - Công an Tỉnh Bà Rịa - Vũng Tàu,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
107,BCA_CA_VT_PC03,Phòng Cảnh sát kinh tế - Công an Tỉnh Bà Rịa - Vũng Tàu,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
108,BCA_CA_VT_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Tỉnh Bà Rịa - Vũng Tàu,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
109,BCA_CA_VT_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Tỉnh Bà Rịa - Vũng Tàu,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
110,BCA_CA_VT_PC08,Phòng Cảnh sát giao thông - Công an Tỉnh Bà Rịa - Vũng Tàu,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
111,BCA_CA_VT_PA01,Phòng An ninh đối ngoại - Công an Tỉnh Bà Rịa - Vũng Tàu,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
112,BCA_CA_VT_PA02,Phòng An ninh nội địa - Công an Tỉnh Bà Rịa - Vũng Tàu,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
113,BCA_CA_VT_PA03,Phòng An ninh chính trị nội bộ - Công an Tỉnh Bà Rịa - Vũng Tàu,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
114,BCA_CA_VT_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Tỉnh Bà Rịa - Vũng Tàu,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
115,BCA_CA_TNI,Công an Tỉnh Tây Ninh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
116,BCA_CA_TNI_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Tỉnh Tây Ninh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
117,BCA_CA_TNI_PC02,Phòng Cảnh sát hình sự - Công an Tỉnh Tây Ninh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
118,BCA_CA_TNI_PC03,Phòng Cảnh sát kinh tế - Công an Tỉnh Tây Ninh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
119,BCA_CA_TNI_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Tỉnh Tây Ninh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
120,BCA_CA_TNI_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Tỉnh Tây Ninh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
121,BCA_CA_TNI_PC08,Phòng Cảnh sát giao thông - Công an Tỉnh Tây Ninh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
122,BCA_CA_TNI_PA01,Phòng An ninh đối ngoại - Công an Tỉnh Tây Ninh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
123,BCA_CA_TNI_PA02,Phòng An ninh nội địa - Công an Tỉnh Tây Ninh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
124,BCA_CA_TNI_PA03,Phòng An ninh chính trị nội bộ - Công an Tỉnh Tây Ninh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
125,BCA_CA_TNI_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Tỉnh Tây Ninh,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
126,BCA_CA_BPC,Công an Tỉnh Bình Phước,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
127,BCA_CA_BPC_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Tỉnh Bình Phước,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
128,BCA_CA_BPC_PC02,Phòng Cảnh sát hình sự - Công an Tỉnh Bình Phước,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
129,BCA_CA_BPC_PC03,Phòng Cảnh sát kinh tế - Công an Tỉnh Bình Phước,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
130,BCA_CA_BPC_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Tỉnh Bình Phước,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
131,BCA_CA_BPC_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Tỉnh Bình Phước,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
132,BCA_CA_BPC_PC08,Phòng Cảnh sát giao thông - Công an Tỉnh Bình Phước,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
133,BCA_CA_BPC_PA01,Phòng An ninh đối ngoại - Công an Tỉnh Bình Phước,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
134,BCA_CA_BPC_PA02,Phòng An ninh nội địa - Công an Tỉnh Bình Phước,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
135,BCA_CA_BPC_PA03,Phòng An ninh chính trị nội bộ - Công an Tỉnh Bình Phước,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
136,BCA_CA_BPC_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Tỉnh Bình Phước,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
137,BCA_CA_AGI,Công an Tỉnh An Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
138,BCA_CA_AGI_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Tỉnh An Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
139,BCA_CA_AGI_PC02,Phòng Cảnh sát hình sự - Công an Tỉnh An Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
140,BCA_CA_AGI_PC03,Phòng Cảnh sát kinh tế - Công an Tỉnh An Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
141,BCA_CA_AGI_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Tỉnh An Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
142,BCA_CA_AGI_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Tỉnh An Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
143,BCA_CA_AGI_PC08,Phòng Cảnh sát giao thông - Công an Tỉnh An Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
144,BCA_CA_AGI_PA01,Phòng An ninh đối ngoại - Công an Tỉnh An Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
145,BCA_CA_AGI_PA02,Phòng An ninh nội địa - Công an Tỉnh An Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
146,BCA_CA_AGI_PA03,Phòng An ninh chính trị nội bộ - Công an Tỉnh An Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
147,BCA_CA_AGI_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Tỉnh An Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
148,BCA_CA_KGI,Công an Tỉnh Kiên Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
149,BCA_CA_KGI_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Tỉnh Kiên Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
150,BCA_CA_KGI_PC02,Phòng Cảnh sát hình sự - Công an Tỉnh Kiên Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
151,BCA_CA_KGI_PC03,Phòng Cảnh sát kinh tế - Công an Tỉnh Kiên Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
152,BCA_CA_KGI_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Tỉnh Kiên Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
153,BCA_CA_KGI_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Tỉnh Kiên Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
154,BCA_CA_KGI_PC08,Phòng Cảnh sát giao thông - Công an Tỉnh Kiên Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
155,BCA_CA_KGI_PA01,Phòng An ninh đối ngoại - Công an Tỉnh Kiên Giang,BCA,cap_tinh,dvc_2018,2018-01-01,,v2.0.0,HIGH
