unit_code,canonical_name,organization_type,unit_level,year_start,year_end,source_ref,source_url,source_type,code_source,crawled_at,crawl_version,unit_name_raw,unit_code_raw,dedup_key,qa_label,qa_annotator,qa_confidence,qa_note,qa_date,dataset_name,export_date
BCA_A03,Cục An ninh kinh tế,BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Cục An ninh kinh tế,BCA_A03,cuc an ninh kinh te,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_A05,Cục An ninh mạng và phòng chống tội phạm công nghệ cao,BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Cục An ninh mạng và phòng chống tội phạm công nghệ cao,BCA_A05,cuc an ninh mang va phong chong toi pham cong nghe cao,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_K01,Bộ Tư lệnh Cảnh vệ,BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Bộ Tư lệnh Cảnh vệ,BCA_K01,bo tu lenh canh ve,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_K02,Bộ Tư lệnh Cảnh sát cơ động,BCA,ministry,2018,2026,nd_bca_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Bộ Tư lệnh Cảnh sát cơ động,BCA_K02,bo tu lenh canh sat co ong,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_T01,Học viện An ninh nhân dân,BCA,school,2018,2026,catalog_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Học viện An ninh nhân dân,BCA_T01,hoc vien an ninh nhan dan,BCA,Annotator_A,MEDIUM,Tên có thể gây nhầm lẫn ngành/ngoài ngành,2026-09-12,DataVietNam,2026-09-12
BCA_T02,Học viện Cảnh sát nhân dân,BCA,school,2018,2026,catalog_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Học viện Cảnh sát nhân dân,BCA_T02,hoc vien canh sat nhan dan,BCA,Annotator_A,MEDIUM,Tên có thể gây nhầm lẫn ngành/ngoài ngành,2026-09-12,DataVietNam,2026-09-12
BCA_T03,Học viện Chính trị Công an nhân dân,BCA,school,2018,2026,catalog_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Học viện Chính trị Công an nhân dân,BCA_T03,hoc vien chinh tri cong an nhan dan,BCA,Annotator_A,MEDIUM,Tên có thể gây nhầm lẫn ngành/ngoài ngành,2026-09-12,DataVietNam,2026-09-12
BCA_BV198,Bệnh viện 19 - 8 Bộ Công an,BCA,hospital,2018,2026,catalog_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Bệnh viện 19-8 Bộ Công an,BCA_BV198,benh vien 19 8 bo cong an,BCA,Annotator_A,MEDIUM,Tên có thể gây nhầm lẫn ngành/ngoài ngành,2026-09-12,DataVietNam,2026-09-12
BCA_BV304,Bệnh viện 30 - 4 Bộ Công an,BCA,hospital,2018,2026,catalog_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Bệnh viện 30-4 Bộ Công an,BCA_BV304,benh vien 30 4 bo cong an,BCA,Annotator_A,MEDIUM,Tên có thể gây nhầm lẫn ngành/ngoài ngành,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HN,Công an Thành phố Hà Nội,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Công an Thành phố Hà Nội,BCA_CA_HN,cong an thanh pho ha noi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HN_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Thành phố Hà Nội,BCA,ministry,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Văn phòng Cơ quan Cảnh sát điều tra - Công an Thành phố Hà Nội,BCA_CA_HN_PC01,van phong co quan canh sat ieu tra cong an thanh pho ha noi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HN_PC02,Phòng Cảnh sát hình sự - Công an Thành phố Hà Nội,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát hình sự - Công an Thành phố Hà Nội,BCA_CA_HN_PC02,phong canh sat hinh su cong an thanh pho ha noi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HN_PC03,Phòng Cảnh sát kinh tế - Công an Thành phố Hà Nội,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát kinh tế - Công an Thành phố Hà Nội,BCA_CA_HN_PC03,phong canh sat kinh te cong an thanh pho ha noi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HN_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Thành phố Hà Nội,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Thành phố Hà Nội,BCA_CA_HN_PC04,phong canh sat ieu tra toi pham ve ma tuy cong an thanh pho ha noi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HN_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Thành phố Hà Nội,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Thành phố Hà Nội,BCA_CA_HN_PC06,phong canh sat quan ly hanh chinh ve trat tu xa hoi cong an thanh pho ha noi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HN_PC07,Phòng Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ - Công an Thành phố Hà Nội,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ - Công an Thành phố Hà Nội,BCA_CA_HN_PC07,phong canh sat phong chay chua chay va cuu nan cuu ho cong an thanh pho ha noi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HN_PC08,Phòng Cảnh sát giao thông - Công an Thành phố Hà Nội,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát giao thông - Công an Thành phố Hà Nội,BCA_CA_HN_PC08,phong canh sat giao thong cong an thanh pho ha noi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HN_PA01,Phòng An ninh đối ngoại - Công an Thành phố Hà Nội,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng An ninh đối ngoại - Công an Thành phố Hà Nội,BCA_CA_HN_PA01,phong an ninh oi ngoai cong an thanh pho ha noi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HN_PA02,Phòng An ninh nội địa - Công an Thành phố Hà Nội,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng An ninh nội địa - Công an Thành phố Hà Nội,BCA_CA_HN_PA02,phong an ninh noi ia cong an thanh pho ha noi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HN_PA03,Phòng An ninh chính trị nội bộ - Công an Thành phố Hà Nội,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng An ninh chính trị nội bộ - Công an Thành phố Hà Nội,BCA_CA_HN_PA03,phong an ninh chinh tri noi bo cong an thanh pho ha noi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HN_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Thành phố Hà Nội,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Thành phố Hà Nội,BCA_CA_HN_PA05,phong an ninh mang va phong chong toi pham cong nghe cao cong an thanh pho ha noi,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HTAY,Công an Tỉnh Hà Tây,BCA,province,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Công an Tỉnh Hà Tây,BCA_CA_HTAY,cong an tinh ha tay,BCA,Annotator_A,MEDIUM,Đơn vị lịch sử sáp nhập (Hà Tây hoặc legacy) — cần xác nhận,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HTAY_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Tỉnh Hà Tây,BCA,ministry,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Văn phòng Cơ quan Cảnh sát điều tra - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC01,van phong co quan canh sat ieu tra cong an tinh ha tay,BCA,Annotator_A,MEDIUM,Đơn vị lịch sử sáp nhập (Hà Tây hoặc legacy) — cần xác nhận,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HTAY_PC02,Phòng Cảnh sát hình sự - Công an Tỉnh Hà Tây,BCA,province,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát hình sự - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC02,phong canh sat hinh su cong an tinh ha tay,BCA,Annotator_A,MEDIUM,Đơn vị lịch sử sáp nhập (Hà Tây hoặc legacy) — cần xác nhận,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HTAY_PC03,Phòng Cảnh sát kinh tế - Công an Tỉnh Hà Tây,BCA,province,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát kinh tế - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC03,phong canh sat kinh te cong an tinh ha tay,BCA,Annotator_A,MEDIUM,Đơn vị lịch sử sáp nhập (Hà Tây hoặc legacy) — cần xác nhận,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HTAY_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Tỉnh Hà Tây,BCA,province,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC04,phong canh sat ieu tra toi pham ve ma tuy cong an tinh ha tay,BCA,Annotator_A,MEDIUM,Đơn vị lịch sử sáp nhập (Hà Tây hoặc legacy) — cần xác nhận,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HTAY_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Tỉnh Hà Tây,BCA,province,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC06,phong canh sat quan ly hanh chinh ve trat tu xa hoi cong an tinh ha tay,BCA,Annotator_A,MEDIUM,Đơn vị lịch sử sáp nhập (Hà Tây hoặc legacy) — cần xác nhận,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HTAY_PC07,Phòng Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ - Công an Tỉnh Hà Tây,BCA,province,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC07,phong canh sat phong chay chua chay va cuu nan cuu ho cong an tinh ha tay,BCA,Annotator_A,MEDIUM,Đơn vị lịch sử sáp nhập (Hà Tây hoặc legacy) — cần xác nhận,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HTAY_PC08,Phòng Cảnh sát giao thông - Công an Tỉnh Hà Tây,BCA,province,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát giao thông - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PC08,phong canh sat giao thong cong an tinh ha tay,BCA,Annotator_A,MEDIUM,Đơn vị lịch sử sáp nhập (Hà Tây hoặc legacy) — cần xác nhận,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HTAY_PA01,Phòng An ninh đối ngoại - Công an Tỉnh Hà Tây,BCA,province,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng An ninh đối ngoại - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PA01,phong an ninh oi ngoai cong an tinh ha tay,BCA,Annotator_A,MEDIUM,Đơn vị lịch sử sáp nhập (Hà Tây hoặc legacy) — cần xác nhận,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HTAY_PA02,Phòng An ninh nội địa - Công an Tỉnh Hà Tây,BCA,province,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng An ninh nội địa - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PA02,phong an ninh noi ia cong an tinh ha tay,BCA,Annotator_A,MEDIUM,Đơn vị lịch sử sáp nhập (Hà Tây hoặc legacy) — cần xác nhận,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HTAY_PA03,Phòng An ninh chính trị nội bộ - Công an Tỉnh Hà Tây,BCA,province,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng An ninh chính trị nội bộ - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PA03,phong an ninh chinh tri noi bo cong an tinh ha tay,BCA,Annotator_A,MEDIUM,Đơn vị lịch sử sáp nhập (Hà Tây hoặc legacy) — cần xác nhận,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HTAY_PA05,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Tỉnh Hà Tây,BCA,province,2018,2026,legacy_record_dvc,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng An ninh mạng và phòng chống tội phạm công nghệ cao - Công an Tỉnh Hà Tây,BCA_CA_HTAY_PA05,phong an ninh mang va phong chong toi pham cong nghe cao cong an tinh ha tay,BCA,Annotator_A,MEDIUM,Đơn vị lịch sử sáp nhập (Hà Tây hoặc legacy) — cần xác nhận,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HCM,Công an Thành phố Thành phố Hồ Chí Minh,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Công an Thành phố Thành phố Hồ Chí Minh,BCA_CA_HCM,cong an thanh pho thanh pho ho chi minh,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HCM_PC01,Văn phòng Cơ quan Cảnh sát điều tra - Công an Thành phố Thành phố Hồ Chí Minh,BCA,ministry,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Văn phòng Cơ quan Cảnh sát điều tra - Công an Thành phố Thành phố Hồ Chí Minh,BCA_CA_HCM_PC01,van phong co quan canh sat ieu tra cong an thanh pho thanh pho ho chi minh,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HCM_PC02,Phòng Cảnh sát hình sự - Công an Thành phố Thành phố Hồ Chí Minh,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát hình sự - Công an Thành phố Thành phố Hồ Chí Minh,BCA_CA_HCM_PC02,phong canh sat hinh su cong an thanh pho thanh pho ho chi minh,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HCM_PC03,Phòng Cảnh sát kinh tế - Công an Thành phố Thành phố Hồ Chí Minh,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát kinh tế - Công an Thành phố Thành phố Hồ Chí Minh,BCA_CA_HCM_PC03,phong canh sat kinh te cong an thanh pho thanh pho ho chi minh,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HCM_PC04,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Thành phố Thành phố Hồ Chí Minh,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát điều tra tội phạm về ma túy - Công an Thành phố Thành phố Hồ Chí Minh,BCA_CA_HCM_PC04,phong canh sat ieu tra toi pham ve ma tuy cong an thanh pho thanh pho ho chi minh,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HCM_PC06,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Thành phố Thành phố Hồ Chí Minh,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát quản lý hành chính về trật tự xã hội - Công an Thành phố Thành phố Hồ Chí Minh,BCA_CA_HCM_PC06,phong canh sat quan ly hanh chinh ve trat tu xa hoi cong an thanh pho thanh pho ho chi minh,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HCM_PC07,Phòng Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ - Công an Thành phố Thành phố Hồ Chí Minh,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ - Công an Thành phố Thành phố Hồ Chí Minh,BCA_CA_HCM_PC07,phong canh sat phong chay chua chay va cuu nan cuu ho cong an thanh pho thanh pho ho chi minh,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HCM_PC08,Phòng Cảnh sát giao thông - Công an Thành phố Thành phố Hồ Chí Minh,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng Cảnh sát giao thông - Công an Thành phố Thành phố Hồ Chí Minh,BCA_CA_HCM_PC08,phong canh sat giao thong cong an thanh pho thanh pho ho chi minh,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HCM_PA01,Phòng An ninh đối ngoại - Công an Thành phố Thành phố Hồ Chí Minh,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng An ninh đối ngoại - Công an Thành phố Thành phố Hồ Chí Minh,BCA_CA_HCM_PA01,phong an ninh oi ngoai cong an thanh pho thanh pho ho chi minh,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
BCA_CA_HCM_PA02,Phòng An ninh nội địa - Công an Thành phố Thành phố Hồ Chí Minh,BCA,province,2018,2026,dvc_2018,https://dichvucong.gov.vn/archive/2018,generated_catalog,source,2026-09-12T19:42:24.601202,crawl_2018_2026,Phòng An ninh nội địa - Công an Thành phố Thành phố Hồ Chí Minh,BCA_CA_HCM_PA02,phong an ninh noi ia cong an thanh pho thanh pho ho chi minh,BCA,Annotator_A,HIGH,Khớp hoàn toàn danh mục hành chính chuẩn,2026-09-12,DataVietNam,2026-09-12
